Thats enough DotA for the night.|v.redd.it||highlight
EE having issues with his chair|clips.twitch.tv||highlight esports
Black just killed Open AI|clips.twitch.tv||highlight
EE makes a call|clips.twitch.tv||highlight
ah fu ES play|clips.twitch.tv||highlight esports
Jerax Kicks Fat Kid Into Bullies|clips.twitch.tv||highlight automod
2GD is BACK|clips.twitch.tv||highlight
zai's audio creepily accurate|clips.twitch.tv||highlight
Playing venge in new patch and didnt expect this to happen|gfycat.com||highlight
Unexpected game end Fnatic vs Secret|clips.twitch.tv||highlight esports
Amazing Camerawork|clips.twitch.tv||highlight esports
Calculated Triple Raze Nether Swap|v.redd.it||highlight
Outplayed.mp4|gfycat.com||highlight
Demon with the sick tranquil boot plays|clips.twitch.tv||highlight
R.I.P Slacks|clips.twitch.tv||highlight esports
Jimmy with the unbelievable ending of the game|clips.twitch.tv||highlight
Typical SEA bait|gfycat.com||highlight
Grand Theft Ogre|gfycat.com||highlight
SingSing, the best Chen player in the world|clips.twitch.tv||highlight
200 IQ pangocounter|gfycat.com||highlight
Arteezy 9k juke|clips.twitch.tv||highlight
My life supporting at 2k|gfycat.com||highlight
lgd sick dark rift dominator play|clips.twitch.tv||highlight esports
Abed fountain zip|clips.twitch.tv||highlight
A Pangolier play I did.|gfycat.com||highlight
Nicest thing happened to me in dota 2|clips.twitch.tv||highlight
Navi Fnatic Base Race|clips.twitch.tv||highlight esports
1 Dagger and I'm die|gfycat.com||highlight
Envy Mana Void|clips.twitch.tv||highlight esports
General stole arcana from Dendi while he was away|clips.twitch.tv||highlight
You know you fucked up when people are choosing this over the main stream|clips.twitch.tv||highlight esports
Grill streamer drops her bottle|clips.twitch.tv||highlight
PPD tells Nahaz how it is.|clips.twitch.tv||highlight
the dumbest thing I've ever seen -Purge|clips.twitch.tv||highlight esports
Sumail Aegis Snatch|clips.twitch.tv||highlight esports
Miracle makes a play as level 1 Rubick|clips.twitch.tv||highlight
Bulba ends the game with an insane Slardar initiation|clips.twitch.tv||highlight esports
Smooth fucking delivery by ODPixel|clips.twitch.tv||highlight esports
hot korean grill febby stream Kreygasm|clips.twitch.tv||highlight
Jack Off LUL|clips.twitch.tv||highlight esports
rofl monitor vs chair i fucking died|clips.twitch.tv||highlight esports
God-like Tether escape|clips.twitch.tv||highlight esports
Casters don't notice insane tp cancel by zai's Chen|clips.twitch.tv||highlight esports
The horrific realization....|clips.twitch.tv||highlight esports
Redeye officially joins the Reddit community|clips.twitch.tv||highlight esports
this isnt ok|gfycat.com||highlight
Sing sing does Infinity Wisp!|clips.twitch.tv||highlight
Typical Antimage team fight contributions|gfycat.com||highlight
singsing's amazing chen strat|clips.twitch.tv||highlight
VP 5 Man Combo!|clips.twitch.tv||highlight esports
We cost firstblood guy his job. FeelsBadMan|clips.twitch.tv||highlight esports
Lizzard with the amazing pre cast purge to get out of global silence in a pro game!|clips.twitch.tv||highlight esports
Learning to play Earth Spirit|gfycat.com||highlight
~50/50 EE eats 4 mangos and dies | EE next level mango medusa strat~|clips.twitch.tv||highlight
midone sunstrike - from LUL to Kreygasm|gfycat.com||highlight
Zai the ultimate support player|clips.twitch.tv||highlight esports
attacker kunkka boys|clips.twitch.tv||highlight
Shadow Shaman vs Anti Mage|gfycat.com||highlight
Team Secret Lays it Down|clips.twitch.tv||highlight esports
First Blood at Galaxy Battles II|clips.twitch.tv||highlight esports
Abed Insane Roshan Play|clips.twitch.tv||highlight esports
"Why am I even walking?" - Singsing|clips.twitch.tv||highlight
DJ gets a 360 no scope|clips.twitch.tv||highlight esports
1000 IQ Doom play|clips.twitch.tv||highlight
bulldog gets roasted by akinator|clips.twitch.tv||highlight
Why you shouldn't buy Aghs on Anti-Mage.|gfycat.com||highlight
Day[9] Bristleback fountain dive|clips.twitch.tv||highlight automod
Rolling Thunder doesn't stop in Lifestealer's Consume and Infest, leading to fun combos|gfycat.com||highlight automod
Techies stealth kills the ancient in one hit.|clips.twitch.tv||highlight
